!THEORY;La Regola Ferrea del V2 ðŸ—ï¸|Il verbo coniugato DEVE stare in 2Âª posizione.|1. [Io] [vado] a casa.|2. [Oggi] [vado] io a casa.|Se inizi con "Oggi" (Avverbio), il verbo resta lÃ¬ e il soggetto scivola al 3Â° posto (Inversione).
Io vado al cinema oggi;Ich gehe heute ins Kino;Ordine standard
Oggi vado io al cinema;Heute gehe ich ins Kino;Inversione: Avverbio -> Verbo -> Soggetto
Lui abita qui;Er wohnt hier;Ordine standard
Qui abita lui;Hier wohnt er;Inversione: Qui -> Abita -> Lui
Noi mangiamo la pizza ora;Wir essen jetzt Pizza;Ordine standard
Ora mangiamo noi la pizza;Jetzt essen wir Pizza;Inversione (Jetzt al primo posto)
Io sono stanco;Ich bin mÃ¼de;Ordine standard
Purtroppo sono stanco;Leider bin ich mÃ¼de;Inversione con 'Leider' (Purtroppo)
Tu impari il tedesco;Du lernst Deutsch;Standard
Forse impari tu il tedesco;Vielleicht lernst du Deutsch;Inversione con 'Vielleicht'
Cosa mangi oggi?;Was isst du heute?;Nelle domande W-word il verbo Ã¨ subito dopo
Bevi tu il caffÃ¨?;Trinkst du Kaffee?;Domanda SÃ¬/No: Verbo al 1Â° posto!
Hai tu tempo?;Hast du Zeit?;Domanda: Verbo al 1Â° posto
Io non vengo oggi;Ich komme heute nicht;Il 'nicht' va spesso alla fine o dopo il verbo
Oggi non vengo;Heute komme ich nicht;Inversione + Negazione