!THEORY;Il corpo umano ha plurali strani!|👁️ Das Auge -> Die Augen (Gli occhi)|🦶 Der Fuß -> Die Füße (I piedi)|Per dire "Sto male" usa "Ich bin krank" (Sono malato) o "Ich habe Schmerzen" (Ho dolori).
Il corpo;Der Körper;Maschile
La testa;Der Kopf;Maschile
La mano;Die Hand;Femminile (Plurale: Die Hände)
Il piede;Der Fuß;Maschile (Plurale: Die Füße)
L'occhio;Das Auge;Neutro
Gli occhi;Die Augen;Plurale in -n
I capelli;Die Haare;Plurale (usato spesso al plurale)
La pancia;Der Bauch;Maschile
La gamba;Das Bein;Neutro (come l'osso)
Sono malato;Ich bin krank;Aggettivo
Ho la febbre;Ich habe Fieber;Fieber è Neutro
Ho mal di testa;Ich habe Kopfschmerzen;Letteralmente: dolori di testa
La farmacia;Die Apotheke;Femminile
I vestiti;Die Kleidung;Femminile (singolare collettivo)
La giacca;Die Jacke;Femminile
I pantaloni;Die Hose;Singolare in tedesco (Die Hose, non Hosen)
Le scarpe;Die Schuhe;Plurale
La maglietta;Das T-Shirt;Neutro (prestito inglese)
Il vestito (da donna);Das Kleid;Neutro
Il colore;Die Farbe;Femminile
Rosso;Rot;Aggettivo
Blu;Blau;Aggettivo
Nero;Schwarz;Aggettivo
Bianco;Weiß;Aggettivo
Verde;Grün;Aggettivo
Mi piace il blu;Ich mag Blau;Verbo Mögen